Description,Revenue,Quantity,Orders,UniqueCustomers
TRADITIONAL KNITTING NANCY,9297.87,5895,509,366
SET OF 4 KNICK KNACK TINS DOILY ,9270.5,2294,312,230
BLUE HARMONICA IN BOX ,9222.63,7434,517,306
FAWN BLUE HOT WATER BOTTLE,9218.550000000001,2925,379,253
RED RETROSPOT ROUND CAKE TINS,9188.25,975,257,167
REGENCY TEA PLATE GREEN ,9184.9,5966,270,195
PANTRY ROLLING PIN,9184.28,2407,197,153
WOODEN SCHOOL COLOURING SET,9072.87,5695,395,288
EDWARDIAN PARASOL RED,9055.87,1630,270,141
REGENCY MILK JUG PINK ,9008.0,3066,272,206
REVOLVER WOODEN RULER ,8950.289999999999,4917,285,217
3 TIER CAKE TIN RED AND CREAM,8737.78,652,136,115
STRAWBERRY LUNCH BOX WITH CUTLERY,8734.64,3716,426,233
LADIES & GENTLEMEN METAL SIGN,8699.130000000001,3899,367,196
SET OF 20 KIDS COOKIE CUTTERS,8697.27,4149,416,290
PINK CREAM FELT CRAFT TRINKET BOX ,8648.49,7131,535,312
GINGERBREAD MAN COOKIE CUTTER,8625.13,7204,554,388
60 TEATIME FAIRY CAKE CASES,8618.369999999999,17689,657,414
SET OF 6 SOLDIER SKITTLES,8597.5,2297,339,250
AREA PATROLLED METAL SIGN,8552.220000000001,4290,374,176
VINTAGE DOILY JUMBO BAG RED ,8535.26,4447,234,186
VINTAGE HEADS AND TAILS CARD GAME ,8531.41,7143,485,342
JUMBO BAG PAISLEY PARK,8529.24,4373,302,230
HAND WARMER RED RETROSPOT,8526.12,4274,341,258
ENAMEL BREAD BIN CREAM,8519.0,713,326,189
"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812,196,73
FAMILY ALBUM WHITE PICTURE FRAME,8416.64,1075,286,165
T-LIGHT GLASS FLUTED ANTIQUE,8378.89,7336,260,184
SWEETHEART CAKESTAND 3 TIER,8376.6,892,326,252
POTTERING IN THE SHED METAL SIGN,8372.7,3926,371,225
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8354.87,1841,241,150
BOX OF 6 MINI VINTAGE CRACKERS,8350.41,3647,329,270
SET 2 PANTRY DESIGN TEA TOWELS,8323.17,2697,311,241
FELTCRAFT BUTTERFLY HEARTS,8314.55,6127,436,287
SET OF 3 NOTEBOOKS IN PARCEL,8283.75,5207,319,253
MULTI COLOUR SILVER T-LIGHT HOLDER,8269.45,10279,306,208
BOX OF 6 MINI 50'S CRACKERS,8216.79,3539,365,300
LARGE WHITE HEART OF WICKER,8184.700000000001,2908,511,350
HANGING JAM JAR T-LIGHT HOLDER,8164.12,10528,310,193
3 HEARTS HANGING DECORATION RUSTIC,8161.21,2895,261,196
SET 6 PAPER TABLE LANTERN HEARTS ,8129.43,2265,263,205
VINTAGE RED KITCHEN CABINET,8125.0,60,38,34
ICE CREAM PEN LIP GLOSS ,8077.31,6607,213,159
FELTCRAFT PRINCESS CHARLOTTE DOLL,8071.51,2223,401,275
DOORMAT MULTICOLOUR STRIPE,8053.22,1419,141,88
SET OF 6 RIBBONS VINTAGE CHRISTMAS,8051.83,2843,329,278
ALARM CLOCK BAKELIKE ORANGE,7995.63,2182,359,179
CHILDRENS CUTLERY SPACEBOY ,7974.38,1982,316,225
RED METAL BOX TOP SECRET,7962.03,1003,221,148
RECIPE BOX RETROSPOT ,7952.900000000001,2870,441,233
SET OF 72 RETROSPOT PAPER  DOILIES,7947.37,5680,365,244
SET/10 RED POLKADOT PARTY CANDLES,7799.18,6502,336,238
TRAVEL SEWING KIT,7787.36,4864,394,263
GRAND CHOCOLATECANDLE,7785.05,5801,249,195
PICNIC BASKET WICKER SMALL,7746.700000000001,1427,232,175
SET OF 3 HEART COOKIE CUTTERS,7741.84,6019,521,376
FELTCRAFT CHRISTMAS FAIRY,7722.68,1896,302,240
JUMBO BAG TOYS ,7689.28,4198,245,152
ZINC FOLKART SLEIGH BELLS,7665.110000000001,4647,339,270
HAND WARMER RED LOVE HEART,7660.200000000001,3762,371,268
FAMILY PHOTO FRAME CORNICE,7646.84,837,233,184
BLUE DINER WALL CLOCK,7528.93,907,338,179
SET 6 SCHOOL MILK BOTTLES IN CRATE,7510.29,2067,281,195
PAINTED METAL PEARS ASSORTED,7491.4,4476,352,259
60 CAKE CASES VINTAGE CHRISTMAS,7417.849999999999,14735,466,342
SMALL GLASS HEART TRINKET POT,7412.56,3670,342,215
PLASTERS IN TIN VINTAGE PAISLEY ,7346.69,4573,480,315
OPEN CLOSED METAL SIGN,7311.36,1577,341,263
WOODLAND CHARLOTTE BAG,7277.24,9237,531,238
PACK OF 12 LONDON TISSUES ,7266.71,25345,382,195
WOODEN BOX OF DOMINOES,7215.95,5778,449,336
 SET 2 TEA TOWELS I LOVE LONDON ,7208.95,2627,192,131
CHOCOLATE THIS WAY METAL SIGN,7208.52,3635,374,220
SILVER HANGING T-LIGHT HOLDER,7193.25,4665,250,165
SET OF 4 KNICK KNACK TINS LONDON ,7170.599999999999,1788,233,150
FELTCRAFT PRINCESS LOLA DOLL,7166.94,1964,378,247
PACK OF 6 BIRDY GIFT TAGS,7149.7,6062,319,241
CHARLOTTE BAG SUKI DESIGN,7138.65,8975,585,249
SET OF 4 KNICK KNACK TINS DOILEY ,7136.849999999999,1803,172,142
CHRISTMAS CRAFT LITTLE FRIENDS,7128.1,3468,421,319
CREAM CUPID HEARTS COAT HANGER,7125.38,1918,241,133
ZINC METAL HEART DECORATION,7108.68,5757,476,311
SWEETHEART RECIPE BOOK STAND,7084.650000000001,1099,287,170
RED SPOTTY BISCUIT TIN,7071.2,2058,203,130
 SPACEBOY BABY GIFT SET,7065.499999999999,450,142,110
FUNKY DIVA PEN,7010.94,8328,155,107
36 DOILIES VINTAGE CHRISTMAS,7006.25,5153,160,151
RAIN PONCHO RETROSPOT,6964.63,8755,180,115
JINGLE BELL HEART ANTIQUE SILVER,6962.04,3547,197,162
TRIPLE PHOTO FRAME CORNICE ,6932.83,761,208,152
GIANT 50'S CHRISTMAS CRACKER,6926.11,2635,310,260
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6923.17,5753,321,168
SWEETHEART CERAMIC TRINKET BOX,6875.860000000001,5757,381,215
PACK OF 72 SKULL CAKE CASES,6859.3099999999995,14309,499,295
NATURAL SLATE CHALKBOARD LARGE ,6833.2,1452,303,220
SMALL WHITE HEART OF WICKER,6832.83,4283,582,378
HANGING HEART ZINC T-LIGHT HOLDER,6830.59,8470,412,271
GIRAFFE WOODEN RULER,6820.74,3710,234,185
SET/2 RED RETROSPOT TEA TOWELS ,6820.01,2319,219,151
VINTAGE CREAM DOG FOOD CONTAINER,6779.35,826,292,176
WHITE WOOD GARDEN PLANT LADDER,6778.8099999999995,724,379,278
YOU'RE CONFUSING ME METAL SIGN ,6762.57,4281,342,191
RETROSPOT PARTY BAG + STICKER SET,6749.23,4391,267,167
VINTAGE DOILY TRAVEL SEWING KIT,6747.9,3522,349,282
SET 6 PAPER TABLE LANTERN STARS ,6739.63,1860,209,161
RED FLORAL FELTCRAFT SHOULDER BAG,6734.31,1876,257,157
SET OF 3 BUTTERFLY COOKIE CUTTERS,6718.9,5293,498,325
LUNCH BOX WITH CUTLERY RETROSPOT ,6717.79,2853,324,185
DOORMAT 3 SMILEY CATS,6715.25,1107,174,111
HOME SWEET HOME MUG,6708.11,5347,293,174
CARRIAGE,6686.0,134,133,29
CHILDS BREAKFAST SET SPACEBOY ,6681.849999999999,731,203,155
SET 40 HEART SHAPE PETIT FOUR CASES,6677.0,4260,140,123
HEART FILIGREE DOVE  SMALL,6671.07,5439,246,162
DOORMAT UNION JACK GUNS AND ROSES,6635.61,1159,155,108
ROUND CAKE TIN VINTAGE RED,6600.7300000000005,891,250,193
MINT KITCHEN SCALES,6599.79,792,304,193
CHILDRENS CUTLERY POLKADOT GREEN ,6599.06,1688,166,114
ROSE COTTAGE KEEPSAKE BOX ,6574.95,729,144,118
ALARM CLOCK BAKELIKE CHOCOLATE,6574.26,1776,322,171
CHILDRENS APRON SPACEBOY DESIGN,6572.49,3543,448,298
DOLLY GIRL BABY GIFT SET,6567.95,421,120,99
CHILDRENS CUTLERY DOLLY GIRL ,6554.6,1628,268,197
SET OF 20 VINTAGE CHRISTMAS NAPKINS,6530.26,8122,489,368
PLASTERS IN TIN SKULLS,6505.8,4036,439,281
SET OF 12 FAIRY CAKE BAKING CASES,6469.45,8243,465,323
VICTORIAN SEWING BOX SMALL ,6432.110000000001,1128,237,133
LARGE ZINC HEART WALL ORGANISER,6414.48,1064,37,29
BEWARE OF THE CAT METAL SIGN ,6405.31,4027,359,178
PICTURE FRAME WOOD TRIPLE PORTRAIT,6378.150000000001,1023,225,142
BLACK/BLUE POLKADOT UMBRELLA,6367.9400000000005,1133,256,183
SET/10 PINK POLKADOT PARTY CANDLES,6353.58,5257,304,214
PIGGY BANK RETROSPOT ,6308.57,2619,262,188
MEMO BOARD COTTAGE DESIGN,6306.1900000000005,1365,262,186
BLUE STRIPE CERAMIC DRAWER KNOB,6284.25,4969,351,167
72 SWEETHEART FAIRY CAKE CASES,6274.9,13070,501,325
METAL 4 HOOK HANGER FRENCH CHATEAU,6273.29,2151,337,210
RETROSPOT LARGE MILK JUG,6267.150000000001,1317,310,209
LANDMARK FRAME CAMDEN TOWN ,6257.35,558,62,50
TOY TIDY PINK POLKADOT,6229.58,3169,289,133
RED STRIPE CERAMIC DRAWER KNOB,6224.03,5035,333,169
LOVE SEAT ANTIQUE WHITE METAL,6210.0,58,41,33
3 DRAWER ANTIQUE WHITE WOOD CABINET,6195.73,715,186,129
BOX OF 6 CHRISTMAS CAKE DECORATIONS,6155.04,1712,163,136
SAVE THE PLANET MUG,6151.78,5265,270,133
HAND WARMER BABUSHKA DESIGN,6149.33,4633,288,199
VINTAGE DONKEY TAIL GAME ,6146.89,1750,215,182
MINI LIGHTS WOODLAND MUSHROOMS,6126.09,1719,173,143
COFFEE MUG APPLES DESIGN,6124.150000000001,2770,229,155
CIRCUS PARADE LUNCH BOX ,6122.629999999999,3375,256,168
LARGE CIRCULAR MIRROR MOBILE,6107.049999999999,6821,118,71
WALL ART CLASSIC PUDDINGS ,6093.49,821,118,95
AGED GLASS SILVER T-LIGHT HOLDER,6083.2,10088,277,168
JINGLE BELL HEART DECORATION,6069.15,3687,307,223
CHILDS BREAKFAST SET DOLLY GIRL ,6063.0,657,180,143
TEA TIME TEA TOWELS ,6045.0,2600,2,1
JUMBO BAG DOLLY GIRL DESIGN,6008.41,3097,317,171
SET OF 60 PANTRY DESIGN CAKE CASES ,5982.09,11675,504,366
BROCADE RING PURSE ,5980.05,22963,206,136
DELUXE SEWING KIT ,5974.62,1058,222,157
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5968.9800000000005,1280,159,128
4 TRADITIONAL SPINNING TOPS,5960.08,4491,364,260
DOORSTOP RETROSPOT HEART,5938.21,1516,236,177
PACK OF 60 DINOSAUR CAKE CASES,5934.68,12134,529,287
PLACE SETTING WHITE HEART,5922.2699999999995,14877,289,174
SET 3 WICKER OVAL BASKETS W LIDS,5922.12,462,32,29
WOODEN HAPPY BIRTHDAY GARLAND,5910.150000000001,2093,232,138
RED RETROSPOT PEG BAG,5880.05,2460,354,205
SET 2 TEA TOWELS I LOVE LONDON ,5859.25,1953,176,111
SET OF 2 TEA TOWELS APPLE AND PEARS,5855.24,1980,238,163
CHARLOTTE BAG PINK POLKADOT,5840.64,7306,487,220
RED RETROSPOT SMALL MILK JUG,5830.2,2460,310,204
PINK FAIRY CAKE CHILDRENS APRON,5823.36,3144,397,250
CHICK GREY HOT WATER BOTTLE,5810.37,1555,282,205
PANTRY WASHING UP BRUSH,5795.86,3920,304,225
BISCUIT TIN 50'S CHRISTMAS,5795.2,2060,271,231
REGENCY TEA PLATE PINK,5793.28,3688,224,160
WOODEN OWLS LIGHT GARLAND ,5781.35,1535,147,88
CANDLEHOLDER PINK HANGING HEART,5771.780000000001,2046,343,222
ENGLISH ROSE HOT WATER BOTTLE,5767.91,1423,277,198
BINGO SET,5725.71,1553,280,210
LANTERN CREAM GAZEBO ,5721.42,1214,259,192
BOTANICAL GARDENS WALL CLOCK ,5719.0,259,80,70
WHITE METAL LANTERN,5713.03,1591,238,145
PANTRY CHOPPING BOARD,5695.860000000001,1138,43,39
SOMBRERO ,5691.5,4402,59,39
SET OF 6 TEA TIME BAKING CASES,5687.150000000001,4879,319,243
UNION STRIPE WITH FRINGE  HAMMOCK,5682.09,759,167,113
SINGLE HEART ZINC T-LIGHT HOLDER,5664.78,5700,336,234
SET OF 2 WOODEN MARKET CRATES,5652.9,462,165,142
DOORMAT TOPIARY,5644.46,880,182,125
CHARLOTTE BAG APPLES DESIGN,5632.15,7039,425,199
WHITE SPOT RED CERAMIC DRAWER KNOB,5618.04,4564,307,159
QUEENS GUARD COFFEE MUG,5603.570000000001,2365,233,164
RETROSPOT CHILDRENS APRON,5587.87,3039,292,202
SET OF 72 PINK HEART PAPER DOILIES,5566.679999999999,3954,307,209
VINTAGE CHRISTMAS STOCKING ,5564.25,2199,281,246
RED 3 PIECE RETROSPOT CUTLERY SET,5555.13,1543,97,80
VINTAGE CHRISTMAS GIFT SACK,5527.150000000001,1365,193,168
VINTAGE SNAKES & LADDERS,5523.53,1575,268,201
STRAWBERRY CHARLOTTE BAG,5520.95,6847,492,230
SET/6 RED SPOTTY PAPER PLATES,5496.53,7351,325,179
3 STRIPEY MICE FELTCRAFT,5478.05,2923,402,288
POLKADOT PEN,5475.25,6625,107,89
PINK BABY BUNTING,5448.11,1965,204,162
FELTCRAFT PRINCESS OLIVIA DOLL,5446.1,1514,251,184
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,5415.0,35,26,21
PARISIENNE JEWELLERY DRAWER ,5399.02,765,225,154
SMALL ZINC HEART WALL ORGANISER,5378.8,1538,42,31
PHOTO FRAME 3 CLASSIC HANGING,5377.45,554,212,146
CLASSIC GLASS COOKIE JAR,5358.5,1334,248,191
WALL ART BIG LOVE ,5340.21,963,97,77
